X,Y,Field1,osm_type,display_name,place_id,class,type,road,village,city_district,town,city,state,country,postcode,icon_url
-86.6921652663562,33.6149565428339,"1115 Woodslee Street, Birmingham",way,"1115, Woodslee Street, Berkley Hills, Birmingham, Jefferson County, Alabama, 35215, Stati Uniti d'America","353438331",place,house,Woodslee Street,,,,Birmingham,Alabama,Stati Uniti d'America,"35215",./0.png
-86.878215,33.473996,"1640 Jefferson Avenue, Birmingham",way,"Jefferson Avenue, Hyde Park, Birmingham, Jefferson County, Alabama, 35211, Stati Uniti d'America","282026",highway,tertiary,Jefferson Avenue,,,,Birmingham,Alabama,Stati Uniti d'America,"35211",./0.png
0,0,"103 Delawood Manor Lane, Forestdale",,,,,,,,,,,,,,./0.png
-86.9338912,33.4565683,"1000 Glen Oaks, Fairfield",node,"Glen Oaks, Fairfield, Jefferson County, Alabama, 35228, Stati Uniti d'America","297821",place,hamlet,,,,Fairfield,,Alabama,Stati Uniti d'America,"35228",./0.png
-86.9500005918367,33.4376908367347,"4505 Letson Street, Brighton",way,"4505, Letson Street, East Brighton, Brighton, Jefferson County, Alabama, 35020, Stati Uniti d'America","353416817",place,house,Letson Street,Brighton,,,,Alabama,Stati Uniti d'America,"35020",./0.png
-86.8630248473961,33.4874354599275,"1691 Lee Avenue SW, Birmingham",way,"1691, Lee Avenue Southwest, Berney Points, Birmingham, Jefferson County, Alabama, 35211, Stati Uniti d'America","353427906",place,house,Lee Avenue Southwest,,,,Birmingham,Alabama,Stati Uniti d'America,"35211",./0.png
0,0,"7403 Frazier Circle, Pinson",,,,,,,,,,,,,,./0.png
0,0,"Homeless, Birmingham",,,,,,,,,,,,,,./0.png
-86.883066,33.512569,"4833 Court R Ensley, Birmingham",way,"Court R, Ensley, Birmingham, Jefferson County, Alabama, 35218, Stati Uniti d'America","226220",highway,residential,Court R,,,,Birmingham,Alabama,Stati Uniti d'America,"35218",./0.png
-86.8362978,33.4764091,"1117 Cross Creek Court, Birmingham",way,"Cross Creek Court, Spaulding, Birmingham, Jefferson County, Alabama, 35209, Stati Uniti d'America","284396",highway,service,Cross Creek Court,,,,Birmingham,Alabama,Stati Uniti d'America,"35209",./0.png
-86.9653534545455,33.3781956363636,"18 Main Street, Bessemer",way,"18, Main Street, Anns Trailer Court, Jonesboro, Bessemer, Jefferson County, Alabama, 35020, Stati Uniti d'America","353428223",place,house,Main Street,,,Bessemer,,Alabama,Stati Uniti d'America,"35020",./0.png
-86.978581,33.62473,"130 Porter Crest Road, Graysville",way,"Porter Crest Road, Sherwood Hills, Graysville, Jefferson County, Alabama, 35073, Stati Uniti d'America","234645",highway,residential,Porter Crest Road,Graysville,,,,Alabama,Stati Uniti d'America,"35073",./0.png
0,0,"Homeless, Birmingham",,,,,,,,,,,,,,./0.png
-86.8360759194631,33.4926776979866,"400 Goldwire circle, Birmingham",way,"400, Goldwire Circle Southwest, Birmingham, Jefferson County, Alabama, 35211, Stati Uniti d'America","353432813",place,house,Goldwire Circle Southwest,,,,Birmingham,Alabama,Stati Uniti d'America,"35211",./0.png
0,0,"1624C 19th Street Enlsey, Birmingham",,,,,,,,,,,,,,./0.png
74.7247252746277,23.2178602,unknown,relation,"Unknown, Amarpura Kalan, Rawti Tahsil, Ratlam District, Madhya Pradesh, India","372197706",boundary,administrative,,Amarpura Kalan,Unknown,,,Madhya Pradesh,India,,./0.png
0,0,"374 Kirtley Drive, Adger",,,,,,,,,,,,,,./0.png
0,0,"2614 Bone Dry Road, Trafford",,,,,,,,,,,,,,./0.png
-86.834771,33.50984,"446 1st Street North, Birmingham",way,"446, 1st Street North, Smithfield Court, Graymont, Birmingham, Jefferson County, Alabama, 35204, Stati Uniti d'America","353441361",place,house,1st Street North,,,,Birmingham,Alabama,Stati Uniti d'America,"35204",./0.png
0,0,"1225 Boyles Mill Road, Dalton",,,,,,,,,,,,,,./0.png
0,0,"1431 W Sanders Street, Anniston",,,,,,,,,,,,,,./0.png
-86.837379,33.464109,"11 Aspen Ct, Homewood",way,"Aspen Court, Homewood, Jefferson County, Alabama, 35209, Stati Uniti d'America","273202",highway,service,Aspen Court,,,Homewood,,Alabama,Stati Uniti d'America,"35209",./0.png
-86.7204683993569,33.4405602512921,"3545 Grandview Pkwy, Birmingham",way,"3545, Grandview Parkway, Birmingham, Jefferson County, Alabama, 35243, Stati Uniti d'America","353387249",place,house,Grandview Parkway,,,,Birmingham,Alabama,Stati Uniti d'America,"35243",./0.png
-86.8834013265306,33.4903383469388,"4637 Avenue S, Birmingham",way,"4637, Avenue S, Central Park Highlands, Birmingham, Jefferson County, Alabama, 35208, Stati Uniti d'America","353364393",place,house,Avenue S,,,,Birmingham,Alabama,Stati Uniti d'America,"35208",./0.png
-86.7169062608696,33.5619563478261,"623 80th Street South, Birmingham",way,"623, 80th Street South, East Lake, Birmingham, Jefferson County, Alabama, 35206, Stati Uniti d'America","353376847",place,house,80th Street South,,,,Birmingham,Alabama,Stati Uniti d'America,"35206",./0.png
0,0,"1120 Meadows Drive, Irondale",,,,,,,,,,,,,,./0.png
-86.7319943265771,33.4643655457208,"2875 Crowne Ridge Drive, Vestavia",way,"2875, Crowne Ridge Drive, The Crowne, Asbury Park, Cahaba Heights, Vestavia Hills, Jefferson County, Alabama, 35243, Stati Uniti d'America","353404385",place,house,Crowne Ridge Drive,Cahaba Heights,,Vestavia Hills,,Alabama,Stati Uniti d'America,"35243",./0.png
